Vocabulary for 山行

Page 1
호랑이 			tiger
헤매다 			wander aimlessly, be disoriented
한낮 				high noon, midday
벗겨지다 			be/get peeled off, stripped off/away
청명하다 (淸明)		be bright, clear
전란 (戰亂)			war, strife; the Korean War
빨치산 			partisan fighter
굴 (窟)			cave
지어 먹다			prepare a meal

Page 16
야영 (野營)			camping
삼선암 (三仙岩) 		Three Maiden Rock
온종일 (-終日) 		all day long
노루 				roe deer
카메라에 담다 		take a picture; record on camera
결코 + neg. 			not at all, not in the least
실망하다 (失望) 		feel disappointed
열띠다			be burning, sparkling; excited
-을 통해 (-을 通해) 	through, by way of
존재 (存在) 			existence
어김없이 			certainly, without fail, without exception
흥얼대다 			hum, croon
뒤(를) 잇다 			follow behind, bring up the rear
기대다 			lean on/against
눈을 깜짝하다 		blink one’s eyes
건너다보다 			look across at
잠시 (暫時)			momentarily
눈을 붙이다 		shut one’s eyes; catch some shut-eye, take a nap
엷다 				be faint
미소를 띠다 (微笑)		put on/wear a smile
여태껏 			until now, until this moment, so far
이쁘다 = 예쁘다 		be pretty, beautiful
말을 끊다 			cut off one’s words, interrupt
실하다 (實) 			be substantial
산골 [-꼴] (山-) 		mountain region; remote place in the mountains
처박히다 			be/get rammed or stuffed into
과하다 (過) 			exaggerate, be too much
기력 (氣力)			vigor, strength, power
허덕이다 			pant, gasp, struggle
도망질다 (逃亡)		act of running away, escaping (derogatory)
당연하다 (當然)		be natural, a matter of course
세월 (歲月)			life; time
감당하다 (堪當)		manage, handle, deal with
예전 				previously, before, in the past
걸음 				steps, stride
황개골 			name of a village
걷다 				walk
눈이 침침하다 		have bad or blurry eyesight; be unable to see well

Page 17
낙담하다 (落膽)		feel discouraged, disappointed
내달리다 			run off, dash off (with great force / speed)
쿡쿡 				description of low laughter
이튿날 			the following day
험하다 (嶮) 			be rugged
개울물 			brook water
드세지다 			become strong
풀섶 				a mass of grass
찍히다 			be/get imprinted
큼직하다			be fairly large, good-sized
발견하다 (發見)		discover
황소 				ox, bull
쭈그리고 앉다 		squat
떨리다 			shake, quiver, tremble
음성 (音聲)			voice
비탈 				slope, incline
긁다 				scratch, scrape
바위산 (-山) 			rocky/craggy mountain
이어지다 			be/get continued or joined to
심장 (心臟)			heart
싸늘하다 			be chilly, icy
맛(을) 보다 			taste
쌍안경 (雙眼鏡)		binoculars
주변 (周邊) 			surroundings
능선 (稜線) 			ridge
훑다 				look carefully over, give a scrutinizing glance at
허리춤 			the waist of one’s trousers
추스르다 			set in order, put into shape
올리다 			lift, pick up, raise up
이끌다 			guide, show, lead
기어오르다 			climb up
뛰다 				run
단숨에 			in one breath, at a stroke
전신 (全身)			whole body
가시 				thorn, bramble
나뭇가지 			tree branches
할키우다 = 할퀴다 	be/get clawed, scratched
엎어지다 			fall on one’s face
자빠지다 			tumble backwards
차례 (次例)			sequence, order, turn; time, around
손등 [-뜽] 			back of the hand
해(가) 지다 			sun set

Page 18
이르다 			arrive, reach
녹초가 되다 		be worn out, exhausted, frazzled
연후 (然後)			afterwards
어둠 				darkness
튀어나오다 			spring forth, leap out
불(을) 지피다 		to kindle, burn, make a fire
곤하다 (困)			feel exhausted, tired
앞지르다 			get ahead of, cut in front of
단언하다 (斷言) 		assert, affirm
시야 (視野)			field of vision
훤히 				broadly, extensively
트이다 			be/get cleared, opened
능선 (稜線)			ridgeline
마루 				ridge
사방 (四方)			four directions, all around, everywhere
살피다 			look over, examine
쌍안경 (雙眼鏡) 		binoculars
손질하다 			maintain; trim, repair
모습 				shape, form, appearance
시방	 			presently, now
틀림없다 			be unmistakable, be certain
지루하다 			be tedious, tiresome
마르다 			be dry; dry up
오징어 			squid
씹다 				chew
관목숲 (灌木-)		shrubbery
눈을 떼다 			take one’s eyes off
간단없다 (簡單)		be ceaseless, incessant
베개 				pillow
받치다 			prop up, support
기대다 			lean on, lean against
곁 				side
다가오다 			approach
날래다 			be quick, fast, swift
영험스럽다 (靈驗)		be miraculous
쏜살 				a shot arrow
통하다 (通)			communicate with, connect with
간절하다 (懇切)		be earnest, eager; desperate
여유롭다 (餘裕) 		be/feel relaxed, easygoing

Page 19
엉터리 			sham, fake, non-sense
지치다 			get exhausted
투덜대다 			grumble, complain at length
개수작 (-酬酌)		foolish remark, move, stunt, act (derogatory)
설득(을) 시키다 (說得) 	persuade, convince
결과 (結果) 			result, outcome
마찬가지다 			be all the same
한나절 			half a day
나흘 				four days
언쟁을 벌이다 (言爭) 	quarrel, dispute, argue, bicker
쉬어쉬어 (쉬엄쉬엄)	taking short breaks/rests along the way
장난(을) 치다 		jest, joke around, play pranks on
신명 나다 			be in high spirits; merry, joyous
첩첩 (疊疊)			layer upon layer
투명하다 (透明)		be transparent, lucid
비밀스럽다 (秘密) 		be elusive, secretive
존재자 (存在者)		a being, something existing
평화롭다 (平和)		be peaceful
안온하다 (安穩)		be tranquil, peaceful
이승에서 			in this world (as opposed to the nether world: 저승)
완전하다 (完全)		be perfect, complete
심정 (心情)			state of mind
낙엽지 (落葉枝)		fallen leaves
솟다 				gush forth, rise up
벼랑 				cliff
인가 (人家)			house, human dwelling
생각을 키우다 		harbor thoughts of
당초 (當初)			the very first time, the beginning
목적 (目的)			goal, aim
죄 (罪)			sin; crime
놀이 나오다 		go on a picnic / excursion
낄낄대다 			snicker, giggle
병색 (病色)			tint of illness, sickness
신선(神仙)			Taoist hermit with supernatural powers; mountain wizard
주정뱅이 (酒酊-)		drunkard
손가락질 [-까]		pointing one’s finger at; blaming, criticizing
비굴하다 (卑屈)		be mean, cowardly; base


Page 20
남루하다 (襤褸)		be tattered, shabby
복장 (服裝) 			costume, attire
찌들다 			be hardened, worn-out
적막하다 (寂寞)		be desolate
근사하다 (近似)		be splendid, excellent; handsome-looking
입에 담다 			say, speak, tell, blurt out
욕설 (辱說)			cursing, foul language, verbal abuse
나무라다 			scold, chide, blame
노여움 			anger, rage
조급하다 (躁急)		be quick-tempered, impetuous
떠들썩하다 			be noisy, boisterous
노닐다 			stroll, ramble, wander (poetic)
말리다 			stop, dissuade
거창하다 (巨創)		be on a large scale, grand, humongous
둘러매다 			carry or wear around one’s neck or shoulder
오히려 			on the contrary; contrary to expectations
거북설스럽다		be cumbersome
미안감 (未安感)		regret, sense of guilt
일다 (= 생기다) 		come into one’s mind
하산하다 (下山)		go down a mountain, descend
간지럼 			tickling sensation
간지럼(을) 태우다 		tickle sb
땅바닥 			floor, ground
뒹굴다 			lie down, throw oneself down, roll around
찔끔대다 			trickle, dribble
공모하다 (共謀)		plot together, conspire
골탕(을) 먹이다 		to give a hard time to, play pranks on
흔쾌하다 (欣快)		feel pleasant, delighted, happy, joyful
노을 				sky’s colors at sunrise or sunset
유난히 			exceptionally
붉다 				be red, crimson
불덩이 [-떵이]		ball of fire, fireball
휘황하다 (輝煌)		be splendid, brilliant, iridescent, dazzling
띠다 				have, wear, present, put on, show
온통 				all, wholly, entirely, everything, everywhere
봉우리 			peak, top, summit
짙다 				be deep, rich
상수리나무 			oak tree
듬성듬성 			sporadically, scattered, thinly, sparingly
꽂히다 			be/get inserted, put in, stuck, driven in
비탈 				slope, incline
쌍안경 (雙眼鏡)		binoculars
완벽하다 (完璧)		be perfect, complete
황금빛 [-삗] (黃金) 		color of pure gold
털 				fur; hair
반점 (斑點)			spot, speck, dot
선명하다 (鮮明) 		be clear, distinct, lucid, vivid, defined
달리다 			run
미끄러지다 			slide, glide
관목숲 (灌木-)		shrubbery
스미다 			soak in (into, through), infiltrate, permeate

Page 21
속삭이다 			whisper
속이다 			cheat, betray, get the best of
사실 (事實) 			fact, truth
